__LAMDA 	 __MU 
0.2 	 0.3 

# Replication 	 Delay Mean 
129 	 3.3332511700320966 
130 	 3.328942977766778 
131 	 3.327564034832929 
132 	 3.3344349501153463 
133 	 3.326676610630871 
134 	 3.34799127390748 
135 	 3.3292952624105174 
136 	 3.3472358800927435 
137 	 3.3121926384459575 
138 	 3.3275498285175753 
139 	 3.341336583813532 
140 	 3.332817951065742 
141 	 3.337494820913081 
142 	 3.3366479439501373 
143 	 3.335798820384035 
144 	 3.329734303245583 
145 	 3.3302443333445413 
146 	 3.3372866221490556 
147 	 3.3419070954065795 
148 	 3.335018950937497 
149 	 3.3415996996515096 
150 	 3.3372521438026252 
151 	 3.331656211077706 
152 	 3.3285586971506897 
153 	 3.3274490631521094 
154 	 3.3347641948405946 
155 	 3.336956455867324 
156 	 3.3420467760605357 
157 	 3.3414516564088 
158 	 3.3433375911859584 
159 	 3.3187238144334428 
160 	 3.3337118855487504 
161 	 3.3310606441672914 
162 	 3.3432736486284917 
163 	 3.337203310944056 
164 	 3.3402210485190245 
165 	 3.3440985381363313 
166 	 3.337067215445735 
167 	 3.3445447053946693 
168 	 3.324500236792446 
169 	 3.339456093891142 
170 	 3.345034767981712 
171 	 3.336244002747411 
172 	 3.3387890998720557 
173 	 3.342908988728246 
174 	 3.3277605199536238 
175 	 3.3464797123256664 
176 	 3.3293781069399984 
177 	 3.3267905256181076 
178 	 3.334739598635931 
179 	 3.3345518039583277 
180 	 3.3253284366833267 
181 	 3.3219933968322293 
182 	 3.338258585081877 
183 	 3.3306344359107496 
184 	 3.3410733046038392 
185 	 3.3407808945309414 
186 	 3.333548005931054 
187 	 3.3480923035200827 
188 	 3.3201728725385906 
189 	 3.3362533699275896 
190 	 3.3321976739152097 
191 	 3.3332562803205095 
192 	 3.3321748082847558 
193 	 3.3287453198497152 
194 	 3.3201742558738774 
195 	 3.325220210271399 
196 	 3.3300227350463074 
197 	 3.3358738272265485 
198 	 3.344723401766813 
199 	 3.3328448504752557 
200 	 3.333109290259607 
201 	 3.349434760566637 
202 	 3.330495855076122 
203 	 3.3249434691495434 
