__LAMDA 	 __MU 
0.2 	 0.3 

# Replication 	 Delay Mean 
129 	 3.3309490472373935 
130 	 3.3287523734287445 
131 	 3.3261491754251313 
132 	 3.3460755162925055 
133 	 3.3389998752605394 
134 	 3.335258970278315 
135 	 3.340056750379571 
136 	 3.3096659755222313 
137 	 3.335637965028444 
138 	 3.331508281784726 
139 	 3.318196599916095 
140 	 3.3382542116793315 
141 	 3.3457706483197955 
142 	 3.324130152162826 
143 	 3.334623953323257 
144 	 3.337136805446379 
145 	 3.328907843093476 
146 	 3.3217099453068055 
147 	 3.328623022527207 
148 	 3.340087568714324 
149 	 3.3387398532491637 
150 	 3.3312261301013417 
151 	 3.3374154629886688 
152 	 3.333159143386071 
153 	 3.362610731078095 
154 	 3.3141099112096875 
155 	 3.357586681364344 
156 	 3.341854922273478 
157 	 3.34135978992519 
158 	 3.3361712970287694 
159 	 3.3383129304729553 
160 	 3.3328746314933917 
161 	 3.3249849728340517 
162 	 3.3470185549602203 
163 	 3.334679841219124 
164 	 3.333544706884877 
165 	 3.337483153124954 
166 	 3.332352564325513 
167 	 3.321897797218552 
168 	 3.31513669940817 
169 	 3.3332441399813253 
170 	 3.3398321676426046 
171 	 3.3190097359387156 
172 	 3.325540000033946 
173 	 3.333078596859632 
174 	 3.3436725891883516 
175 	 3.3350518520027927 
176 	 3.3253803072920785 
177 	 3.3377986907943766 
178 	 3.3349776985063793 
179 	 3.3324789947167353 
180 	 3.3333805586232406 
181 	 3.3223208783033376 
182 	 3.3206828961948016 
183 	 3.3283488205604974 
184 	 3.340801331478637 
185 	 3.311327183997036 
186 	 3.3039313248545907 
187 	 3.351477297668089 
188 	 3.3456240071473955 
189 	 3.319278095932686 
190 	 3.340860842742655 
191 	 3.3360026180202333 
192 	 3.329345492560176 
193 	 3.327928594140071 
194 	 3.34356427017151 
195 	 3.3479489831013556 
196 	 3.3343513574791657 
197 	 3.3500415525291047 
198 	 3.3282885424373623 
199 	 3.3145384517649843 
200 	 3.3390722921258233 
201 	 3.340792792370371 
202 	 3.3323072207009643 
203 	 3.3476186604029228 
204 	 3.3355324315075623 
205 	 3.327001877298014 
206 	 3.330258516202901 
207 	 3.3230008378735474 
208 	 3.3254084433772984 
209 	 3.3131894193712323 
210 	 3.3329453228331944 
211 	 3.3379452032478873 
212 	 3.335241907199862 
213 	 3.3427690459466004 
214 	 3.3105785265332375 
215 	 3.327184231567289 
216 	 3.3537647868304785 
217 	 3.3464121046902977 
218 	 3.318161473835572 
219 	 3.3184654698606098 
220 	 3.3371415497156547 
221 	 3.3257776561659895 
222 	 3.3206413011867952 
223 	 3.3308302708949884 
224 	 3.3448388320306393 
225 	 3.3301340097071823 
226 	 3.340576628672032 
227 	 3.3186048236124495 
228 	 3.3333943546337683 
229 	 3.3162544101453846 
230 	 3.3277249043178423 
231 	 3.3312359936815708 
232 	 3.3284826825577913 
233 	 3.3438166316829885 
234 	 3.322741204096951 
235 	 3.3056847699133356 
236 	 3.329871088549553 
237 	 3.326788975813339 
238 	 3.334171063274338 
239 	 3.3637275926870345 
240 	 3.328933636758415 
241 	 3.3429202212756453 
242 	 3.3239353560169302 
243 	 3.34584307267986 
244 	 3.341490843489618 
245 	 3.337337976815152 
246 	 3.3203066812687605 
247 	 3.3360816814598553 
248 	 3.3359868255344787 
249 	 3.336299420136809 
250 	 3.3366683435056403 
251 	 3.3391313911922786 
252 	 3.339312415048714 
253 	 3.334817804707814 
254 	 3.3395000098023346 
255 	 3.336685617576652 
256 	 3.3445211037808407 
257 	 3.3284869514977093 
258 	 3.3273462841992347 
259 	 3.327820096591873 
260 	 3.3442178281985977 
261 	 3.331352543164644 
262 	 3.3437530960169393 
263 	 3.340259036942244 
264 	 3.3208397175673725 
265 	 3.329177980780534 
266 	 3.3320877808823495 
267 	 3.316652539885236 
268 	 3.3256832751740895 
269 	 3.3290748132578845 
270 	 3.311676723395632 
271 	 3.3456279744440613 
272 	 3.3392010665376524 
273 	 3.3241431553758827 
274 	 3.3267536350851215 
275 	 3.358214290136119 
276 	 3.3369590724003015 
277 	 3.3368085769984814 
278 	 3.3327124474533787 
279 	 3.318279266797846 
280 	 3.3314321997918785 
281 	 3.3288638049226758 
282 	 3.3222713851548984 
283 	 3.3308773530086593 
284 	 3.3133261027055303 
285 	 3.3392896719664527 
286 	 3.3415303665927145 
287 	 3.345398901694207 
288 	 3.335930177204888 
289 	 3.3243824046877486 
290 	 3.3534195451744395 
291 	 3.3448385213318628 
292 	 3.3330472706795904 
293 	 3.3293272410331576 
294 	 3.312430509243487 
295 	 3.326564106703262 
296 	 3.3391536308460354 
297 	 3.337035853303323 
298 	 3.321072281752812 
299 	 3.3451908522728817 
300 	 3.3286292608407173 
301 	 3.348935127730817 
302 	 3.3356221413875042 
303 	 3.3482798689210593 
304 	 3.33692797704342 
305 	 3.3365049032850527 
306 	 3.322551946871756 
307 	 3.338557610053429 
308 	 3.339043134520603 
309 	 3.3275615367298648 
310 	 3.333624706912051 
311 	 3.318145837028561 
312 	 3.338713722683451 
313 	 3.3290898843222045 
314 	 3.3334538412018726 
315 	 3.335880712807119 
316 	 3.3254734957041854 
317 	 3.3432424096342546 
318 	 3.347064428568036 
319 	 3.3360229859124266 
320 	 3.343017119178301 
321 	 3.332402267644576 
322 	 3.336576042664443 
323 	 3.319726924182975 
324 	 3.3336107349249096 
325 	 3.3192756064081266 
326 	 3.3527423140128456 
327 	 3.3155467013724698 
328 	 3.3466967578495748 
329 	 3.324235005550938 
330 	 3.326788994464457 
331 	 3.343706153987518 
332 	 3.332795961258535 
333 	 3.3289593247896025 
334 	 3.3366632258499975 
335 	 3.317949939661221 
336 	 3.365781862605273 
337 	 3.332036995194305 
338 	 3.34697345824438 
339 	 3.3363249696946373 
340 	 3.32767548021772 
341 	 3.3337819021925945 
342 	 3.321155408913504 
343 	 3.34190258200545 
344 	 3.3292033713361673 
345 	 3.3402266889722076 
346 	 3.3219552565530917 
347 	 3.3347686443358824 
348 	 3.312977889208626 
349 	 3.3299936494052442 
350 	 3.326688003432138 
351 	 3.3210520510826984 
352 	 3.334856525262417 
353 	 3.337125299275253 
354 	 3.324458562710999 
355 	 3.327260472925818 
356 	 3.3253364141970274 
357 	 3.330921103271975 
358 	 3.3353285930283616 
359 	 3.322394990196311 
360 	 3.3190229591963836 
361 	 3.353618972840461 
362 	 3.3306401026572092 
363 	 3.3373995535967227 
364 	 3.3433964179546396 
365 	 3.34586919426125 
366 	 3.3424290399145793 
367 	 3.335134821254331 
368 	 3.336457481766557 
369 	 3.33692671559598 
370 	 3.3520744546149537 
371 	 3.3113146510532605 
372 	 3.346232429477941 
373 	 3.3452281662185466 
374 	 3.3445795416681006 
375 	 3.34033300885731 
376 	 3.323536259781256 
377 	 3.3283744900465972 
378 	 3.334626410203487 
379 	 3.34403209124457 
380 	 3.333161019335653 
381 	 3.34198697633512 
382 	 3.322467601952038 
383 	 3.334282758659326 
384 	 3.336100608317239 
385 	 3.3314220502111302 
386 	 3.3241062690494254 
387 	 3.3328597901930532 
388 	 3.320217307920066 
389 	 3.327482156232832 
390 	 3.323320598415418 
391 	 3.3302157525143667 
392 	 3.3411568781508807 
393 	 3.345915400484963 
